"Month","GSR","RF","SUN","RH"
1,10.9179821073559,0.904870775347912,4.85218687872763,70.3677932405567
2,10.7580283224401,1.21263616557734,3.84989106753813,76.6100217864924
3,11.3499201596806,2.03233532934132,3.57325349301397,79.4481037924152
4,12.8021106557377,4.2844262295082,3.88329918032787,81.594262295082
5,14.6205671641791,8.49532338308458,4.45402985074627,82.1164179104478
6,14.84033126294,14.2889233954451,4.78178053830228,82.8540372670807
7,17.48558117195,11.4749279538905,6.42708933717579,81.5129682997118
8,15.8788910318226,14.3618129218901,5.86933461909354,81.8592092574735
9,15.2961139896373,10.7128497409326,5.979896373057,77.3968911917098
10,14.548810703667,4.46570862239841,6.33627353815659,71.00396432111
11,12.3101646090535,1.50792181069959,5.72849794238683,70.537037037037
12,11.1836161616162,0.774444444444444,5.32929292929293,66.0676767676768
